docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
000-000-1462632239;000-000;140-070;1012;105-105;799;105-070;693;759
000-000-1462632240;000-000;140-070;1070;105-105;755;140-000;646;828
000-000-1462632241;000-000;105-105;997;140-070;824;105-070;721;809
000-000-1462632242;000-000;105-105;907;105-070;741;140-070;735;775
000-000-1462632243;000-000;105-105;1029;105-070;718;070-035;669;779
000-000-1462632244;000-000;105-070;1268;105-000;686;105-105;657;671
000-000-1462632245;000-000;105-105;1087;105-070;776;140-000;679;703
000-000-1462632246;000-000;105-070;1134;105-105;814;105-035;675;778
000-000-1462632247;000-000;105-105;778;105-000;672;105-140;642;670
000-000-1462632248;000-000;105-035;907;070-035;791;105-105;676;706
000-000-1462632249;000-000;105-035;1025;105-105;843;035-000;746;889
000-000-1462632250;000-000;105-035;873;140-000;825;035-000;782;806
000-000-1462632251;000-000;140-000;810;070-035;695;105-105;679;808
000-000-1462632252;000-000;105-035;918;140-000;794;105-070;693;732
000-000-1462632253;000-000;140-000;938;105-035;898;070-035;748;762
000-000-1462632254;000-000;070-035;824;105-105;799;140-000;667;669
000-000-1462632255;000-000;070-035;900;105-105;710;105-000;652;604
000-000-1462632256;000-000;070-035;957;140-035;625;105-000;614;566
000-000-1462632257;000-000;140-035;800;140-000;632;105-000;618;504
000-000-1462632258;000-000;070-035;723;140-000;692;105-105;662;667
000-000-1462632259;000-000;140-035;701;140-000;684;070-035;666;413
000-000-1462632260;000-000;140-035;755;140-000;639;105-070;616;505
000-000-1462632261;000-000;140-000;730;140-035;708;140-105;649;468
000-000-1462632262;000-000;140-035;746;140-105;697;105-070;623;506
000-000-1462632263;000-000;140-105;708;140-035;688;140-000;628;503
000-000-1462632264;000-000;140-035;635;105-035;614;140-000;597;445
000-000-1462632265;000-000;070-035;742;140-035;730;140-105;667;473
000-000-1462632266;000-000;140-105;769;140-000;722;140-035;646;563
000-000-1462632267;000-000;140-000;825;140-035;666;105-000;608;560
000-000-1462632268;000-000;140-035;800;140-000;743;105-000;594;500
000-000-1462632269;000-000;105-070;861;140-035;790;140-000;648;441
000-000-1462632270;000-000;140-035;721;140-105;623;140-000;601;475
000-000-1462632271;000-000;140-000;708;140-105;699;140-035;662;502
000-000-1462632272;000-000;140-035;721;140-000;680;140-105;617;534
000-000-1462632273;000-000;140-035;760;140-000;632;105-000;596;537
000-000-1462632274;000-000;105-105;818;140-000;661;140-035;655;670
000-000-1462632275;000-000;070-035;798;140-035;697;105-000;645;600
000-000-1462632276;000-000;070-035;879;105-035;787;140-000;666;631
000-000-1462632277;000-000;140-035;721;140-000;675;070-035;673;471
000-000-1462632278;000-000;105-035;739;140-105;663;070-035;647;505
000-000-1462632279;000-000;140-000;713;105-000;645;140-035;644;598
000-000-1462632280;000-000;035-000;1068;070-035;891;105-035;764;629
000-000-1462632281;000-000;070-035;804;140-000;717;105-105;701;697
000-000-1462632282;000-000;070-035;864;105-105;666;140-105;647;635
000-000-1462632283;000-000;070-035;947;035-000;822;000-035;699;597
000-000-1462632284;000-000;070-035;813;140-000;697;105-000;652;700
000-000-1462632285;000-000;070-035;984;105-035;787;105-000;654;535
000-000-1462632286;000-000;070-035;856;140-000;705;105-000;639;664
000-000-1462632287;000-000;070-035;1016;140-000;682;105-000;607;559
000-000-1462632288;000-000;070-035;1076;140-000;638;140-035;625;500
000-000-1462632289;000-000;070-035;943;140-035;611;105-000;609;505
000-000-1462632290;000-000;070-035;955;105-000;622;140-000;614;567
000-000-1462632291;000-000;070-035;1023;105-000;658;140-000;591;536
000-000-1462632292;000-000;070-035;943;105-035;664;105-000;645;599
000-000-1462632293;000-000;140-000;701;070-035;640;105-000;592;500
000-000-1462632294;000-000;105-035;681;105-000;628;140-105;609;600
000-000-1462632295;000-000;070-035;894;105-035;775;140-000;624;632
000-000-1462632296;000-000;070-035;966;105-000;673;140-000;586;568
000-000-1462632297;000-000;140-000;689;105-000;651;070-035;604;565
000-000-1462632298;000-000;070-035;1022;000-035;810;140-000;703;528
000-000-1462632299;000-000;105-035;1002;070-035;913;035-035;689;498
000-000-1462632300;000-000;070-035;1044;105-035;671;105-000;634;532
