docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
105-038-000-000-1463738520;000-000;135-025;813;120-050;740;113-038;633;3466
105-038-000-000-1463738530;000-000;135-025;809;113-038;698;128-038;684;3548
105-038-000-000-1463738540;000-000;135-025;771;090-025;665;105-025;650;3551
105-038-000-000-1463738550;000-000;135-025;700;090-025;690;105-025;660;3476
105-038-000-000-1463738560;000-000;135-025;823;075-050;617;150-025;579;2868
105-038-000-000-1463738570;000-000;053-013;778;135-025;675;045-050;661;3545
105-038-000-000-1463738580;000-000;135-025;846;128-013;608;105-050;598;3322
105-038-000-000-1463738590;000-000;135-025;771;113-038;668;090-025;635;3631
105-038-000-000-1463738600;000-000;135-025;834;128-013;647;105-050;636;3246
105-038-000-000-1463738610;000-000;135-025;863;150-025;629;045-050;609;3221
105-038-000-000-1463738620;000-000;135-025;859;105-050;610;090-025;606;3245
105-038-000-000-1463738630;000-000;135-025;774;045-050;623;090-025;617;3313
105-038-000-000-1463738640;000-000;045-050;746;038-038;617;090-025;614;3553
105-038-000-000-1463738650;000-000;135-025;748;105-025;689;128-013;663;3791
105-038-000-000-1463738660;000-000;135-025;793;128-013;626;105-025;618;3468
105-038-000-000-1463738670;000-000;135-025;652;128-013;643;045-050;619;3619
105-038-000-000-1463738680;000-000;120-050;899;135-025;805;053-013;728;3868
105-038-000-000-1463738690;000-000;135-025;725;090-025;654;105-050;616;3312
105-038-000-000-1463738700;000-000;075-025;803;105-025;733;135-025;717;3874
105-038-000-000-1463738710;000-000;135-025;775;128-013;661;045-050;607;3535
105-038-000-000-1463738720;000-000;135-025;786;113-038;630;105-025;628;3467
105-038-000-000-1463738730;000-000;135-025;772;105-050;621;090-025;609;3242
105-038-000-000-1463738740;000-000;135-025;817;090-025;619;075-050;600;3321
105-038-000-000-1463738750;000-000;135-025;740;075-025;710;113-038;699;3960
105-038-000-000-1463738760;000-000;053-013;798;120-050;796;135-025;773;4036
105-038-000-000-1463738770;000-000;135-025;815;128-013;690;143-013;585;3388
105-038-000-000-1463738780;000-000;135-025;696;120-050;631;045-050;614;3390
105-038-000-000-1463738790;000-000;075-025;826;090-025;687;045-050;681;3962
105-038-000-000-1463738800;000-000;075-025;833;105-025;725;098-038;703;4483
105-038-000-000-1463738810;000-000;135-025;726;105-025;714;113-038;703;4059
105-038-000-000-1463738820;000-000;053-013;754;105-025;740;135-025;717;3782
105-038-000-000-1463738830;000-000;135-025;783;105-025;776;128-013;639;3468
105-038-000-000-1463738840;000-000;105-025;762;135-025;674;075-025;670;4038
105-038-000-000-1463738850;000-000;135-025;800;045-050;664;090-025;621;3322
105-038-000-000-1463738860;000-000;120-050;735;135-025;730;053-013;689;3864
105-038-000-000-1463738870;000-000;135-025;737;105-025;684;113-038;643;3887
105-038-000-000-1463738880;000-000;135-025;766;113-038;638;075-025;633;3624
105-038-000-000-1463738890;000-000;135-025;711;098-038;642;075-050;631;3463
105-038-000-000-1463738900;000-000;135-025;776;105-050;639;128-013;613;3164
105-038-000-000-1463738910;000-000;135-025;747;075-025;651;128-013;638;3529
105-038-000-000-1463738920;000-000;135-025;717;128-013;660;120-050;632;3861
105-038-000-000-1463738930;000-000;135-025;763;120-050;657;128-013;647;3636
105-038-000-000-1463738940;000-000;135-025;768;120-050;708;113-038;654;3713
105-038-000-000-1463738950;000-000;075-025;786;090-025;655;105-000;647;4222
105-038-000-000-1463738960;000-000;135-025;792;113-038;664;075-025;640;3548
105-038-000-000-1463738970;000-000;135-025;748;045-050;666;128-013;648;3709
105-038-000-000-1463738980;000-000;135-025;752;075-025;638;105-025;638;3636
105-038-000-000-1463738990;000-000;135-025;802;113-038;660;090-025;610;3555
105-038-000-000-1463739000;000-000;135-025;711;015-050;649;150-025;606;863
075-038-000-000-1463738340;000-000;045-050;697;038-038;665;135-025;640;3317
075-038-000-000-1463738350;000-000;098-038;725;045-050;711;135-025;679;4315
075-038-000-000-1463738360;000-000;045-050;745;075-025;680;135-025;644;4138
075-038-000-000-1463738370;000-000;135-025;696;045-050;638;090-025;616;3646
075-038-000-000-1463738380;000-000;068-038;1052;045-050;718;135-025;699;4396
075-038-000-000-1463738390;000-000;075-050;660;060-050;657;045-050;640;3312
075-038-000-000-1463738400;000-000;045-050;765;090-025;669;060-050;629;3796
075-038-000-000-1463738410;000-000;135-025;715;083-038;701;143-013;619;3894
075-038-000-000-1463738420;000-000;045-050;716;068-038;652;060-050;652;3803
075-038-000-000-1463738430;000-000;045-050;740;060-050;738;038-038;647;3876
075-038-000-000-1463738440;000-000;060-050;674;075-050;664;075-025;656;3637
075-038-000-000-1463738450;000-000;045-050;732;083-013;703;105-025;674;4223
075-038-000-000-1463738460;000-000;045-050;787;090-025;691;038-038;649;3548
075-038-000-000-1463738470;000-000;098-038;765;045-050;750;090-025;665;4053
075-038-000-000-1463738480;000-000;105-025;676;045-050;672;098-038;667;4315
075-038-000-000-1463738490;000-000;060-050;670;135-025;664;045-050;640;3969
075-038-000-000-1463738500;000-000;045-050;658;120-050;652;045-025;625;3790
