docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
165-038-000-000-1463738960;000-000;135-025;764;120-025;731;165-025;703;1517
165-038-000-000-1463738970;000-000;135-025;801;075-050;641;120-025;619;1360
165-038-000-000-1463738980;000-000;090-100;765;135-025;673;165-025;668;1520
165-038-000-000-1463738990;000-000;135-025;746;143-013;651;180-025;650;1792
165-038-000-000-1463739000;000-000;135-025;874;113-038;758;120-025;696;646
135-038-000-000-1463738340;000-000;135-025;717;120-025;717;143-038;674;1619
135-038-000-000-1463738350;000-000;183-038;729;150-100;713;158-038;706;1730
135-038-000-000-1463738360;000-000;135-025;698;143-038;671;180-025;652;1784
135-038-000-000-1463738370;000-000;158-038;754;135-025;740;143-038;658;1614
135-038-000-000-1463738380;000-000;120-025;725;143-038;712;158-038;704;1612
135-038-000-000-1463738390;000-000;120-025;726;098-013;670;135-025;668;1406
135-038-000-000-1463738400;000-000;135-025;775;180-025;682;165-025;672;1254
135-038-000-000-1463738410;000-000;165-025;757;135-025;739;165-050;697;1674
135-038-000-000-1463738420;000-000;135-025;725;180-050;713;143-038;653;1462
135-038-000-000-1463738430;000-000;120-025;717;135-025;709;165-050;702;1840
135-038-000-000-1463738440;000-000;120-025;700;158-038;684;180-050;660;1841
135-038-000-000-1463738450;000-000;165-025;703;180-050;700;158-038;671;1558
135-038-000-000-1463738460;000-000;165-050;718;165-025;717;135-025;706;1787
135-038-000-000-1463738470;000-000;143-038;749;158-038;734;183-038;688;1897
135-038-000-000-1463738480;000-000;120-025;745;135-025;712;165-050;665;1738
135-038-000-000-1463738490;000-000;120-025;705;158-038;655;180-050;653;1668
135-038-000-000-1463738500;000-000;180-050;831;143-038;700;135-025;679;1511
135-038-000-000-1463738510;000-000;120-025;803;183-038;666;135-025;665;1726
135-038-000-000-1463738520;000-000;120-025;723;180-050;699;135-025;694;1731
135-038-000-000-1463738530;000-000;120-025;768;180-050;742;135-025;726;1674
135-038-000-000-1463738540;000-000;120-025;747;180-025;704;165-050;702;1558
135-038-000-000-1463738550;000-000;180-050;815;158-038;691;135-025;679;1511
135-038-000-000-1463738560;000-000;158-038;713;120-025;682;180-050;681;1724
135-038-000-000-1463738570;000-000;165-050;735;120-025;729;180-025;697;1785
135-038-000-000-1463738580;000-000;158-038;707;135-025;677;150-025;644;1398
135-038-000-000-1463738590;000-000;120-025;799;165-050;717;180-050;682;1725
135-038-000-000-1463738600;000-000;135-025;717;120-025;698;165-050;696;1897
135-038-000-000-1463738610;000-000;135-025;732;143-038;705;120-025;704;1669
135-038-000-000-1463738620;000-000;143-038;793;158-038;685;135-025;662;1777
135-038-000-000-1463738630;000-000;180-050;735;165-025;734;135-025;701;1675
135-038-000-000-1463738640;000-000;135-025;726;120-025;717;143-038;676;1731
135-038-000-000-1463738650;000-000;120-025;741;135-025;736;158-038;671;1554
