docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X1-165-025-1463736770;165-025;165-025;759;183-038;720;180-025;666;1671
X21-135-050-1463738080;135-050;135-050;795;158-013;679;183-013;675;2027
B105-098-013-1463736520;098-013;098-013;819;090-025;688;105-050;665;1524
B11-180-000-1463734250;180-000;180-000;1453;183-038;652;173-013;626;2614
X6-015-025-1463734620;015-025;015-025;982;030-025;660;090-025;639;1074
B105-098-038-1463737930;098-038;098-038;750;053-038;691;045-050;671;1794
X1-165-025-1463734430;165-025;165-025;769;180-025;712;183-013;697;1397
B17-060-000-1463736610;060-000;060-000;1391;023-038;681;083-013;668;3456
B108-090-100-1463734040;090-100;090-100;886;150-100;643;075-050;626;1369
X4-090-025-1463737990;090-025;090-025;739;075-025;661;105-025;656;1791
X4-075-025-1463734220;075-025;045-050;804;075-025;724;090-025;692;1675
B104-120-050-1463734440;120-050;120-050;982;135-050;676;105-025;653;2028
X6-015-025-1463734990;015-025;015-025;877;045-050;677;030-025;674;1165
MB276-150-050-1463734360;150-050;150-050;1413;128-038;676;183-038;671;2836
MB315-120-100-1463734260;120-100;120-100;1447;098-013;633;180-100;633;1894
X22-105-050-1463738060;105-050;075-050;739;105-050;725;090-025;659;995
X6-015-025-1463737130;015-025;083-013;712;030-025;681;098-013;647;1520
MB291-180-100-1463736440;180-100;180-100;1450;000-100;634;038-038;631;1591
B14-000-100-1463734380;000-100;000-100;1386;128-013;632;150-025;629;1904
X5-045-025-1463735010;045-025;045-025;822;105-050;657;098-013;652;1683
X3-105-025-1463734790;105-025;105-025;898;090-025;671;120-025;643;1854
MB315-120-100-1463736680;120-100;120-100;1447;098-013;633;180-100;633;1894
B11-180-000-1463734910;180-000;180-000;1449;183-038;709;000-100;633;2609
X6-015-025-1463735020;015-025;015-025;896;090-025;668;030-025;631;1032
B105-060-050-1463734440;060-050;105-025;703;098-013;698;075-075;668;1736
B17-060-000-1463734140;060-000;060-000;1366;083-013;699;105-025;693;3218
X6-030-025-1463737650;030-025;030-025;837;045-050;687;015-025;655;1359
B104-113-038-1463737780;113-038;120-050;664;135-050;656;128-013;651;1851
X6-015-025-1463733850;015-025;015-025;899;090-025;681;030-025;665;1118
B13-000-000-1463737750;000-000;000-000;1429;015-000;695;045-050;639;2560
B109-038-038-1463737870;038-038;045-050;763;038-038;724;030-025;698;1570
X23-075-000-1463736430;075-000;075-000;881;090-000;759;113-013;719;2018
X23-075-000-1463736680;075-000;075-000;852;038-013;691;075-050;690;1734
B108-090-100-1463734000;090-100;090-100;1039;150-100;649;060-050;637;1468
X22-105-050-1463738220;105-050;135-025;810;183-013;715;128-013;624;592
B100-173-013-1463736640;173-013;165-025;771;173-013;762;180-025;693;1670
B17-060-000-1463736590;060-000;060-000;1362;045-000;681;075-075;672;3229
B100-150-000-1463733790;150-000;150-000;1283;173-038;719;135-000;709;2655
B106-083-038-1463737730;083-038;083-038;733;090-100;658;060-050;652;1799
B14-000-100-1463736580;000-100;000-100;1389;000-050;670;038-038;637;1901
B100-173-038-1463737660;173-038;173-038;862;158-013;708;165-050;665;2142
MB291-180-100-1463734860;180-100;180-100;1449;038-038;640;000-100;628;1592
B108-090-100-1463733860;090-100;090-100;980;083-038;650;075-075;638;1679
MB315-120-100-1463734630;120-100;120-100;1417;128-038;643;030-025;639;1955
B100-173-038-1463737830;173-038;183-038;756;165-050;692;180-025;692;1770
X7-183-013-1463737110;183-013;183-013;877;150-025;730;165-025;693;1354
B106-083-038-1463737620;083-038;105-025;938;083-038;772;090-100;713;2220
X5-045-025-1463734600;045-025;045-025;752;105-025;739;038-013;692;1901
B105-060-050-1463735100;060-050;075-075;1455;045-075;1009;045-050;645;1824
MB508-030-050-1463734860;030-050;030-050;1409;045-050;651;090-025;646;2477
B16-120-000-1463737820;120-000;120-000;1395;083-013;649;165-050;647;3071
X5-045-025-1463735080;045-025;045-025;825;053-038;693;023-013;687;1968
B100-150-000-1463733960;150-000;150-000;1746;150-100;657;128-038;649;3161
B14-000-100-1463736390;000-100;000-100;1459;143-013;625;173-013;625;1779
B100-173-038-1463738160;173-038;158-013;756;183-038;727;173-038;721;1898
X6-030-025-1463737450;030-025;030-025;783;015-050;756;015-025;713;1263
B16-120-000-1463734260;120-000;120-000;1395;105-025;646;083-038;641;3071
X2-150-025-1463737930;150-025;150-025;828;135-025;699;183-013;692;1306
B107-068-038-1463738030;068-038;068-038;1062;120-050;686;083-038;686;1912
X3-105-025-1463736590;105-025;105-025;1086;120-050;720;120-025;680;2025
X5-045-025-1463734830;045-025;045-050;748;045-025;693;038-038;682;1731
X3-105-025-1463734470;105-025;105-025;940;075-025;738;120-050;661;1850
MB291-180-100-1463734750;180-100;180-100;1512;180-050;632;000-100;628;1436
X22-105-075-1463733880;105-075;105-075;1371;120-050;767;128-038;698;2345
B100-173-013-1463736440;173-013;173-013;785;165-025;778;180-025;651;1669
B104-113-038-1463737700;113-038;113-038;717;105-025;715;135-050;709;2026
MB291-180-100-1463734290;180-100;180-100;1434;000-100;638;158-013;638;1590
X6-015-025-1463737000;015-025;015-025;791;030-025;730;038-038;640;1080
X23-075-000-1463737080;075-000;075-000;897;090-025;668;128-013;662;1906
X21-135-075-1463734760;135-075;135-075;1875;150-100;678;128-038;676;2385
B16-120-000-1463737490;120-000;120-000;1397;128-038;659;173-013;653;2978
MB276-150-050-1463737650;150-050;150-050;1426;150-100;664;038-013;637;2763
X1-165-025-1463735090;165-025;183-013;738;158-013;699;150-025;697;1404
B16-120-000-1463737040;120-000;120-000;1363;165-050;662;183-038;660;2845
B107-150-100-1463734910;150-100;150-100;838;180-050;616;180-100;592;1261
B102-030-000-1463734700;030-000;030-000;894;075-075;748;053-013;681;2812
X23-075-075-1463735000;075-075;030-100;701;060-050;683;075-075;664;1520
X20-165-000-1463736930;165-000;165-000;946;173-013;657;183-013;648;1889
B104-113-038-1463737740;113-038;120-050;836;128-038;746;113-038;717;2152
B101-158-038-1463737770;158-038;158-038;816;150-100;701;158-013;640;1557
B16-120-000-1463737730;120-000;120-000;1367;120-050;676;083-013;668;3146
X21-135-075-1463734310;135-075;135-075;1537;158-038;684;128-038;641;2318
B16-120-000-1463737460;120-000;120-000;1369;173-013;647;128-038;641;2989
B109-038-013-1463737130;038-013;068-013;702;090-025;672;105-025;669;1458
B13-000-000-1463736700;000-000;000-000;1467;015-000;662;183-013;637;2689
B14-000-100-1463734960;000-100;000-100;1485;180-025;626;038-013;624;1667
B101-090-000-1463734800;090-000;090-000;1223;068-038;779;105-025;724;3183
X3-105-025-1463734910;105-025;105-025;899;120-050;750;113-038;666;1848
B106-083-038-1463737840;083-038;105-075;871;090-100;722;083-038;722;2157
B107-150-100-1463734040;150-100;150-100;1196;180-100;619;180-050;605;1358
B11-180-000-1463737120;180-000;180-000;1517;183-013;634;183-038;634;2407
