docname;main;choice1;level1;choice2;level2;choice3;level3;docbagsize
X4-075-025-1463737010;075-025;053-013;746;075-025;689;105-050;687;564
B106-083-013-1463736410;083-013;083-013;737;038-038;689;105-050;670;616
X23-075-000-1463736500;075-000;090-100;789;060-050;709;053-013;708;510
B105-098-038-1463737850;098-038;090-100;783;053-013;733;075-075;682;568
X5-045-025-1463734660;045-025;053-013;744;090-100;696;105-050;669;597
X3-120-025-1463738030;120-025;083-013;696;053-013;686;105-025;685;593
MB17-090-050-1463736790;090-050;090-050;703;053-013;700;105-025;682;536
B104-113-013-1463736530;113-013;053-013;709;143-013;687;135-025;681;591
X21-135-050-1463737830;135-050;143-013;715;143-038;695;135-050;680;740
B105-098-013-1463736850;098-013;090-100;728;105-025;712;053-013;709;596
B105-098-013-1463736640;098-013;098-013;672;105-050;670;068-013;668;446
B106-083-013-1463736930;083-013;053-013;724;038-038;680;105-050;679;592
B14-000-100-1463737070;000-100;000-100;1337;105-050;673;053-013;666;1046
B100-150-000-1463733800;150-000;150-000;1604;150-050;954;173-038;704;1231
X24-045-075-1463733790;045-075;090-100;737;053-013;724;075-075;706;628
X8-023-013-1463736700;023-013;015-050;782;023-013;666;000-050;663;610
MB508-030-050-1463734720;030-050;030-050;811;015-050;732;053-013;716;588
X23-075-050-1463737590;075-050;105-050;717;053-013;696;090-025;674;402
X7-183-013-1463736550;183-013;143-013;736;165-025;700;180-025;688;736
MB276-150-050-1463734880;150-050;150-050;1411;053-013;687;173-038;668;956
MB276-150-050-1463737740;150-050;150-050;1333;173-038;702;135-075;690;881
B17-060-000-1463734750;060-000;060-000;788;053-013;689;038-038;688;753
MB276-150-050-1463734110;150-050;150-050;1366;173-038;686;053-013;686;922
B103-128-038-1463738120;128-038;180-050;708;135-025;703;158-038;685;614
B11-180-000-1463733820;180-000;180-000;1437;143-013;680;053-013;672;1276
B102-143-038-1463737590;143-038;135-075;781;143-038;722;180-050;686;666
X3-105-025-1463734040;105-025;053-013;746;090-100;699;105-025;691;659
B105-098-038-1463737700;098-038;053-013;759;090-100;693;105-025;684;597
B11-180-000-1463736430;180-000;180-000;1410;120-000;721;143-013;679;1328
MB315-120-100-1463736450;120-100;120-100;860;090-100;669;105-050;647;451
X21-135-050-1463737630;135-050;143-013;746;053-013;678;165-050;672;780
X24-045-000-1463736950;045-000;053-013;747;030-050;705;068-038;701;657
B109-030-100-1463734050;030-100;030-100;843;053-013;663;015-050;662;448
